datum,tankenr,value
1.4858604E9,1,1.1855828524319867
1.485864E9,1,1.219
1.4858676E9,1,1.219
1.4858712E9,1,1.219
1.4858748E9,1,1.219
1.4858784E9,1,1.184
1.485882E9,1,1.184
1.4858856E9,1,1.184
1.4858892E9,1,1.184
1.4858928E9,1,1.184
1.4858964E9,1,1.184
1.4859E9,1,1.184
1.4859036E9,1,1.184
1.4859072E9,1,1.184
1.4859108E9,1,1.184
1.4859144E9,1,1.184
1.485918E9,1,1.184
1.4859216E9,1,1.184
1.4859252E9,1,1.184
1.4859288E9,1,1.184
1.4859324E9,1,1.184
1.485936E9,1,1.184
1.4859396E9,1,1.184
1.4859432E9,1,1.184
1.4858604E9,2,1.1869851315287838
1.485864E9,2,1.1887007243614183
1.4858676E9,2,1.1904163171940525
1.4858712E9,2,1.192131910026687
1.4858748E9,2,1.1938475028593214
1.4858784E9,2,1.194
1.485882E9,2,1.1945660658907185
1.4858856E9,2,1.1957338809088196
1.4858892E9,2,1.1969016959269208
1.4858928E9,2,1.198069510945022
1.4858964E9,2,1.199237325963123
1.4859E9,2,1.2004051409812242
1.4859036E9,2,1.2015729559993253
1.4859072E9,2,1.2027407710174265
1.4859108E9,2,1.2039085860355276
1.4859144E9,2,1.2050764010536286
1.485918E9,2,1.2062442160717297
1.4859216E9,2,1.2074120310898309
1.4859252E9,2,1.208579846107932
1.4859288E9,2,1.2097476611260332
1.4859324E9,2,1.2109154761441343
1.485936E9,2,1.2120832911622355
1.4859396E9,2,1.2132511061803366
1.4859432E9,2,1.2144189211984378
1.4858604E9,3,1.1841648804616653
1.485864E9,3,1.234
1.4858676E9,3,1.234
1.4858712E9,3,1.194
1.4858748E9,3,1.194
1.4858784E9,3,1.194
1.485882E9,3,1.194
1.4858856E9,3,1.194
1.4858892E9,3,1.194
1.4858928E9,3,1.194
1.4858964E9,3,1.194
1.4859E9,3,1.194
1.4859036E9,3,1.194
1.4859072E9,3,1.194
1.4859108E9,3,1.194
1.4859144E9,3,1.194
1.485918E9,3,1.194
1.4859216E9,3,1.194
1.4859252E9,3,1.194
1.4859288E9,3,1.194
1.4859324E9,3,1.1974823672635877
1.485936E9,3,1.2010167687715991
1.4859396E9,3,1.2045511702796103
1.4859432E9,3,1.2080855717876218
1.4858604E9,4,1.1659497114591921
1.485864E9,4,1.189
1.4858676E9,4,1.159
1.4858712E9,4,1.159
1.4858748E9,4,1.159
1.4858784E9,4,1.159
1.485882E9,4,1.159
1.4858856E9,4,1.159
1.4858892E9,4,1.159
1.4858928E9,4,1.159
1.4858964E9,4,1.159
1.4859E9,4,1.159
1.4859036E9,4,1.159
1.4859072E9,4,1.159
1.4859108E9,4,1.159
1.4859144E9,4,1.159
1.485918E9,4,1.159
1.4859216E9,4,1.159
1.4859252E9,4,1.159
1.4859288E9,4,1.159
1.4859324E9,4,1.159
1.485936E9,4,1.159
1.4859396E9,4,1.159
1.4859432E9,4,1.159
1.4858604E9,5,1.1840041220115416
1.485864E9,5,1.234
1.4858676E9,5,1.234
1.4858712E9,5,1.194
1.4858748E9,5,1.194
1.4858784E9,5,1.194
1.485882E9,5,1.194
1.4858856E9,5,1.194
1.4858892E9,5,1.194
1.4858928E9,5,1.194
1.4858964E9,5,1.194
1.4859E9,5,1.194
1.4859036E9,5,1.194
1.4859072E9,5,1.194
1.4859108E9,5,1.194
1.4859144E9,5,1.194
1.485918E9,5,1.194
1.4859216E9,5,1.194
1.4859252E9,5,1.194
1.4859288E9,5,1.1970446677449327
1.4859324E9,5,1.2001418149282495
1.485936E9,5,1.2032389621115662
1.4859396E9,5,1.2063361092948828
1.4859432E9,5,1.2094332564781995
